https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XMR,Volume USDT,tradecount
1613815200000,2021-02-20 10:00:00,XMR/USDT,274.96,280.17,273.85,279.82,8585.994,2378932.20208,6352
1613811600000,2021-02-20 09:00:00,XMR/USDT,274.23,277.41,273.54,274.97,4266.303,1176154.35961,5085
1613808000000,2021-02-20 08:00:00,XMR/USDT,272.30,281.03,272.30,274.04,19556.952,5415999.51070,11540
1613804400000,2021-02-20 07:00:00,XMR/USDT,278.14,281.97,271.64,272.30,17731.544,4887618.03348,12467
1613800800000,2021-02-20 06:00:00,XMR/USDT,278.88,280.00,275.03,278.14,9561.649,2649033.30811,6862
1613797200000,2021-02-20 05:00:00,XMR/USDT,279.05,282.47,277.20,278.85,7014.609,1961727.68061,6702
1613793600000,2021-02-20 04:00:00,XMR/USDT,280.82,281.08,278.75,279.05,6081.263,1702982.22022,5055
1613790000000,2021-02-20 03:00:00,XMR/USDT,281.85,282.51,278.40,280.78,5888.791,1650564.61316,6833
1613786400000,2021-02-20 02:00:00,XMR/USDT,282.13,285.73,280.81,281.86,7507.715,2126273.14907,6955
1613782800000,2021-02-20 01:00:00,XMR/USDT,284.60,290.57,280.72,282.21,13138.650,3751104.09161,15738
1613779200000,2021-02-20 00:00:00,XMR/USDT,283.13,286.22,279.13,284.66,16288.769,4602837.18956,12761
1613775600000,2021-02-19 23:00:00,XMR/USDT,276.97,284.95,276.56,283.03,8898.202,2510768.12333,9305
1613772000000,2021-02-19 22:00:00,XMR/USDT,278.71,278.74,274.88,276.95,5566.942,1539526.27561,5408
1613768400000,2021-02-19 21:00:00,XMR/USDT,280.37,283.20,277.20,278.68,16004.858,4482975.15906,11319
1613764800000,2021-02-19 20:00:00,XMR/USDT,276.41,283.90,276.28,280.36,23634.420,6603501.97654,16974
1613761200000,2021-02-19 19:00:00,XMR/USDT,273.01,277.76,271.95,276.40,16736.242,4592329.23456,10917
1613757600000,2021-02-19 18:00:00,XMR/USDT,271.39,273.81,271.16,273.02,4483.999,1221688.63745,4042
1613754000000,2021-02-19 17:00:00,XMR/USDT,267.83,272.90,267.83,271.32,9140.945,2476850.37797,6748
1613750400000,2021-02-19 16:00:00,XMR/USDT,269.82,270.92,265.50,267.89,14664.421,3930247.02349,10619
1613746800000,2021-02-19 15:00:00,XMR/USDT,260.91,275.04,260.90,269.75,35793.807,9572234.52868,21090
1613743200000,2021-02-19 14:00:00,XMR/USDT,267.33,268.66,260.30,260.91,13345.235,3530294.13596,8469
1613739600000,2021-02-19 13:00:00,XMR/USDT,269.67,271.25,266.74,267.36,8909.762,2393225.66049,6198
1613736000000,2021-02-19 12:00:00,XMR/USDT,272.75,274.74,269.24,269.64,13297.162,3622301.10886,7804
1613732400000,2021-02-19 11:00:00,XMR/USDT,270.36,274.08,269.17,272.67,6544.458,1776230.48542,5888
1613728800000,2021-02-19 10:00:00,XMR/USDT,272.31,273.73,269.92,270.39,7027.070,1911539.40199,5396
