https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume NEAR,Volume USDT,tradecount
1652544000000,2022-05-14 16:00:00,NEAR/USDT,6.07900000,6.54100000,6.00500000,6.40100000,1304753.00000000,8271227.44930000,21162
1652540400000,2022-05-14 15:00:00,NEAR/USDT,6.08600000,6.22400000,6.03400000,6.07900000,471048.40000000,2882241.75350000,10710
1652536800000,2022-05-14 14:00:00,NEAR/USDT,6.01700000,6.11900000,5.95900000,6.08500000,627243.40000000,3786999.43620000,13338
1652533200000,2022-05-14 13:00:00,NEAR/USDT,6.12800000,6.18000000,6.01000000,6.01800000,569162.80000000,3456874.97410000,11760
1652529600000,2022-05-14 12:00:00,NEAR/USDT,6.14000000,6.23200000,6.03100000,6.12700000,612181.60000000,3759149.42880000,11283
1652526000000,2022-05-14 11:00:00,NEAR/USDT,6.27200000,6.32300000,6.03100000,6.14300000,1316568.00000000,8086721.33690000,22100
1652522400000,2022-05-14 10:00:00,NEAR/USDT,6.45800000,6.46000000,6.21200000,6.27200000,541270.00000000,3435565.42100000,12002
1652518800000,2022-05-14 09:00:00,NEAR/USDT,6.49000000,6.58500000,6.39800000,6.45900000,507619.40000000,3285304.39430000,10358
1652515200000,2022-05-14 08:00:00,NEAR/USDT,6.45000000,6.54000000,6.40300000,6.49000000,402176.50000000,2600993.92560000,9015
1652511600000,2022-05-14 07:00:00,NEAR/USDT,6.53500000,6.57300000,6.41400000,6.45000000,338954.90000000,2198090.60260000,8994
1652508000000,2022-05-14 06:00:00,NEAR/USDT,6.48300000,6.58700000,6.40200000,6.53500000,402460.00000000,2609963.33820000,9372
1652504400000,2022-05-14 05:00:00,NEAR/USDT,6.37000000,6.53800000,6.32600000,6.48300000,655148.30000000,4206834.38390000,14419
1652500800000,2022-05-14 04:00:00,NEAR/USDT,6.64600000,6.64700000,6.29600000,6.37100000,833190.10000000,5376105.93180000,17082
