https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume QTUM,Volume USDT,tradecount
1635897600000,2021-11-03 00:00:00,QTUM/USDT,17.020,17.044,15.266,16.323,10033741.4,161066174.5581,359514
1635811200000,2021-11-02 00:00:00,QTUM/USDT,16.861,18.115,16.628,17.021,12506265.4,215070585.5239,495038
1635724800000,2021-11-01 00:00:00,QTUM/USDT,15.874,19.190,14.400,16.864,50866324.4,875923990.3455,1780618
1635638400000,2021-10-31 00:00:00,QTUM/USDT,13.109,16.442,12.929,15.880,24598776.6,357741466.4988,903386
1635552000000,2021-10-30 00:00:00,QTUM/USDT,13.335,13.414,12.674,13.112,4005113.0,52278871.9429,185571
1635465600000,2021-10-29 00:00:00,QTUM/USDT,13.041,13.467,12.755,13.336,6293769.3,82444693.7437,238094
1635379200000,2021-10-28 00:00:00,QTUM/USDT,11.700,13.667,11.662,13.041,8537665.9,107967717.0618,312779
1635292800000,2021-10-27 00:00:00,QTUM/USDT,13.119,13.226,10.607,11.696,7917733.3,95819500.4889,287903
1635206400000,2021-10-26 00:00:00,QTUM/USDT,13.262,13.686,12.930,13.118,4737406.2,63384243.5322,180025
1635120000000,2021-10-25 00:00:00,QTUM/USDT,13.027,13.440,12.925,13.260,2562635.7,33844314.5806,128747
1635033600000,2021-10-24 00:00:00,QTUM/USDT,13.277,13.436,12.663,13.026,3490131.6,45593558.6048,171357
1634947200000,2021-10-23 00:00:00,QTUM/USDT,12.836,13.444,12.615,13.277,4149949.9,54256739.8034,175040
1634860800000,2021-10-22 00:00:00,QTUM/USDT,13.201,13.415,12.564,12.836,8613930.8,112084051.0510,305083
1634774400000,2021-10-21 00:00:00,QTUM/USDT,13.137,14.211,13.001,13.203,12029461.5,163621646.6607,394027
1634688000000,2021-10-20 00:00:00,QTUM/USDT,12.426,13.153,12.171,13.134,4429436.2,56065926.0296,183897
1634601600000,2021-10-19 00:00:00,QTUM/USDT,12.344,12.645,12.148,12.425,3480414.3,43180005.4580,162347
1634515200000,2021-10-18 00:00:00,QTUM/USDT,12.475,12.580,12.100,12.346,4193639.6,51759413.1873,185551
1634428800000,2021-10-17 00:00:00,QTUM/USDT,12.852,12.971,11.847,12.473,4721136.7,59165941.3116,185282
1634342400000,2021-10-16 00:00:00,QTUM/USDT,12.600,13.103,12.503,12.851,5378359.2,68669964.3143,222457
1634256000000,2021-10-15 00:00:00,QTUM/USDT,13.252,13.356,12.460,12.603,7217717.1,92784991.0956,294542
1634169600000,2021-10-14 00:00:00,QTUM/USDT,13.381,13.586,13.092,13.254,5323514.9,70785167.9380,212785
1634083200000,2021-10-13 00:00:00,QTUM/USDT,13.294,13.452,12.626,13.380,6805142.8,88692383.0303,246461
1633996800000,2021-10-12 00:00:00,QTUM/USDT,13.057,13.332,12.278,13.293,8983937.2,114554711.4467,292754
1633910400000,2021-10-11 00:00:00,QTUM/USDT,13.062,13.548,12.733,13.058,8525350.8,112575639.8469,273761
1633824000000,2021-10-10 00:00:00,QTUM/USDT,14.904,15.055,13.001,13.064,13951278.8,193723683.3014,412804
1633737600000,2021-10-09 00:00:00,QTUM/USDT,12.632,14.991,12.515,14.904,15429446.5,211980376.1498,451397
1633651200000,2021-10-08 00:00:00,QTUM/USDT,12.915,13.126,12.514,12.632,4837190.2,61954095.0274,204437
