,symbol,date,open,date_delta,clusterLabel
1631,AVAX/USDT,2022-03-03,83.35,43.0,-1
1632,AVAX/USDT,2022-03-02,86.89,42.0,-1
1633,AVAX/USDT,2022-03-01,84.54,41.0,-1
1634,AVAX/USDT,2022-02-28,75.06,40.0,32
1635,AVAX/USDT,2022-02-27,81.81,39.0,-1
1636,AVAX/USDT,2022-02-26,80.98,38.0,-1
1637,AVAX/USDT,2022-02-25,76.39,37.0,32
1638,AVAX/USDT,2022-02-24,73.46,36.0,32
1639,AVAX/USDT,2022-02-23,74.42,35.0,32
1640,AVAX/USDT,2022-02-22,70.03,34.0,32
1641,AVAX/USDT,2022-02-21,77.34,33.0,32
1642,AVAX/USDT,2022-02-20,85.01,32.0,-1
1643,AVAX/USDT,2022-02-19,83.69,31.0,-1
1644,AVAX/USDT,2022-02-18,88.24,30.0,-1
1645,AVAX/USDT,2022-02-17,95.33,29.0,-1
1646,AVAX/USDT,2022-02-16,92.96,28.0,-1
1647,AVAX/USDT,2022-02-15,81.84,27.0,-1
1648,AVAX/USDT,2022-02-14,77.93,26.0,-1
1649,AVAX/USDT,2022-02-13,81.29,25.0,-1
1650,AVAX/USDT,2022-02-12,81.76,24.0,-1
1651,AVAX/USDT,2022-02-11,91.18,23.0,-1
1652,AVAX/USDT,2022-02-10,90.05,22.0,-1
1653,AVAX/USDT,2022-02-09,86.35,21.0,-1
1654,AVAX/USDT,2022-02-08,83.23,20.0,-1
1655,AVAX/USDT,2022-02-07,78.91,19.0,-1
1656,AVAX/USDT,2022-02-06,77.01,18.0,-1
